date,value
1997-02-03,2.49
1997-03-03,1.8
1997-04-01,1.95
1997-04-02,1.85
1997-04-03,1.87
1997-05-01,2.19
1997-05-02,2.21
1997-06-02,2.2
1997-06-03,2.11
1997-07-01,2.16
1997-07-02,2.14
1997-07-03,2.11
1997-08-01,2.24
1997-09-02,2.82
1997-09-03,2.86
1997-10-01,3.08
1997-10-02,2.97
1997-10-03,2.91
1997-11-03,3.23
1997-12-01,2.52
1997-12-02,2.61
1997-12-03,2.53
1998-01-02,2.16
1998-02-02,2.23
1998-02-03,2.27
1998-03-02,2.26
1998-03-03,2.24
1998-04-01,2.45
1998-04-02,2.43
1998-04-03,2.51
1998-05-01,2.11
1998-06-01,2.1
1998-06-02,2.2
1998-06-03,2.13
1998-07-01,2.46
1998-07-02,2.36
1998-08-03,1.84
1998-09-01,1.84
1998-09-02,1.72
1998-09-03,1.71
1998-10-01,2.33
1998-10-02,2.14
1998-11-02,1.84
1998-11-03,2.1
1998-12-01,1.41
1998-12-02,1.4
1998-12-03,1.21
1999-02-01,1.75
1999-02-02,1.78
1999-02-03,1.8
1999-03-01,1.65
1999-03-02,1.67
1999-03-03,1.68
1999-04-01,1.95
1999-05-03,2.23
1999-06-01,2.34
1999-06-02,2.36
1999-06-03,2.35
1999-07-01,2.29
1999-07-02,2.26
1999-08-02,2.51
1999-08-03,2.61
1999-09-01,2.71
1999-09-02,2.56
1999-09-03,2.47
1999-10-01,2.39
1999-11-01,2.73
1999-11-02,2.81
1999-11-03,2.82
1999-12-01,2.17
1999-12-02,2.18
1999-12-03,2.16
2000-02-01,2.81
2000-02-02,2.91
2000-02-03,2.85
2000-03-01,2.71
2000-03-02,2.8
2000-03-03,2.72
2000-04-03,2.92
2000-05-01,3.16
2000-05-02,3.2
2000-05-03,3.18
2000-06-01,4.39
2000-06-02,4.21
2000-07-03,4.36
2000-08-01,3.78
2000-08-02,4.05
2000-08-03,4.23
2000-09-01,4.7
2000-10-02,5.24
2000-10-03,5.29
